Foundation Name,Min Val,Max Val,Foundation Type,Foundation Url,Foundation Product,Foundation Image,Description
080 Ebony,0,75,,https://www.sephora.com/product/diorskin-forever-undercover-foundation-P427506?icid2=products%20grid:p427506:product&skuId=2037273,101235-ravkwkajsd-273.jpg,95348-ravkwkajsd-pro-080 Ebony - very deep with neutral undertone.jpg,080 Ebony - very deep with neutral undertone
060 Light Mocha,75,80,DIOR Diorskin Forever Undercover Foundation,https://www.sephora.com/product/diorskin-forever-undercover-foundation-P427506?icid2=products%20grid:p427506:product&skuId=2037257,26407-glaauklouj-257.jpg,43194-glaauklouj-pro-060 Light Mocha - deep with neutral undertone.jpg,060 Light Mocha - deep with neutral undertone
051 Praline,80,85,DIOR Diorskin Forever Undercover Foundation,https://www.sephora.com/product/diorskin-forever-undercover-foundation-P427506?icid2=products%20grid:p427506:product&skuId=2037240,71176-zotymohwcd-240.jpg,2412-zotymohwcd-pro-051 Praline - medium to deep with warm yellow undertone.jpg,051 Praline - medium to deep with warm yellow undertone
045 Hazel Beige,85,90,DIOR Diorskin Forever Undercover Foundation,https://www.sephora.com/product/diorskin-forever-undercover-foundation-P427506?icid2=products%20grid:p427506:product&skuId=2037224,1192-nvdjywrkcs-224.jpg,90170-nvdjywrkcs-pro-045 Hazel Beige - medium with neutral undertone.jpg,045 Hazel Beige - medium with neutral undertone
070 Dark Brown,90,95,DIOR Diorskin Forever Undercover Foundation,https://www.sephora.com/product/diorskin-forever-undercover-foundation-P427506?icid2=products%20grid:p427506:product&skuId=2037265,75219-rlouxlvwir-265.jpg,93364-rlouxlvwir-pro-070 Dark Brown - dark to very deep with neutral undertone.jpg,070 Dark Brown - dark to very deep with neutral undertone
030 Medium Beige,95,100,DIOR Diorskin Forever Undercover Foundation,https://www.sephora.com/product/diorskin-forever-undercover-foundation-P427506?icid2=products%20grid:p427506:product&skuId=2037133,68335-lzqliifxzc-133.jpg,61440-lzqliifxzc-pro-030 Medium Beige - light to medium with neutral undertone.jpg,030 Medium Beige - light to medium with neutral undertone
034 Almond Beige,100,105,DIOR Diorskin Forever Undercover Foundation,https://www.sephora.com/product/diorskin-forever-undercover-foundation-P427506?icid2=products%20grid:p427506:product&skuId=2037174,4148-rughdkopzy-174.jpg,40362-rughdkopzy-pro-034 Almond Beige - light to medium with cool undertone.jpg,034 Almond Beige - light to medium with cool undertone
044 Dark Almond,105,110,DIOR Diorskin Forever Undercover Foundation,https://www.sephora.com/product/diorskin-forever-undercover-foundation-P427506?icid2=products%20grid:p427506:product&skuId=2037216,100377-ghkquctlnw-216.jpg,86354-ghkquctlnw-pro-044 Dark Almond - medium with cool undertone.jpg,044 Dark Almond - medium with cool undertone
024 Soft Almond,110,115,DIOR Diorskin Forever Undercover Foundation,https://www.sephora.com/product/diorskin-forever-undercover-foundation-P427506?icid2=products%20grid:p427506:product&skuId=2037117,12299-jsqzczfsnp-117.jpg,"6055-jsqzczfsnp-pro-024 Soft Almond - light with cool undertone, balances redness.jpg","024 Soft Almond - light with cool undertone, balances redness"
015 Tender Beige,115,120,DIOR Diorskin Forever Undercover Foundation,https://www.sephora.com/product/diorskin-forever-undercover-foundation-P427506?icid2=products%20grid:p427506:product&skuId=2037067,50484-ubgmaenoty-067.jpg,3912-ubgmaenoty-pro-015 Tender Beige - very light with neutral undertone.jpg,015 Tender Beige - very light with neutral undertone
