Foundation Name,Min Val,Max Val,Foundation Type,Foundation Url,Foundation Product,Foundation Image,Description
490 Cool,0,75,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0490,3518-krrtpsyfkv-490.jpg,72653-krrtpsyfkv-pro-40.jpg,490 Cool
430 Neutral,75,78,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0430,68630-zusmivqjnw-430.jpg,102543-zusmivqjnw-pro-34.jpg,430 Neutral
480 Neutral,78,81,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0480,16075-ggimxoznzb-480.jpg,77057-ggimxoznzb-pro-39.jpg,480 Neutral
420 Neutral,81,84,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0420,64876-qldkdabcwa-420.jpg,65609-qldkdabcwa-pro-33.jpg,420 Neutral
450 Warm,84,87,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0450,65548-gnjnzheeov-450.jpg,48035-gnjnzheeov-pro-36.jpg,450 Warm
340 Cool,87,90,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0340,100350-qarhxsalmt-340.jpg,102804-qarhxsalmt-pro-25.jpg,340 Cool
330 Warm ,90,93,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0330,49703-vqwozbpzjv-330.jpg,1972-vqwozbpzjv-pro-24.jpg,330 Warm 
470 Neutral,93,96,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0470,29927-dutzdwbesc-470.jpg,38692-dutzdwbesc-pro-38.jpg,470 Neutral
290 Neutral Olive ,96,99,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0290,36939-sqifqnbdlc-290.jpg,95463-sqifqnbdlc-pro-20.jpg,290 Neutral Olive 
350 Neutral,99,102,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0350,85729-nogfqnhipn-350.jpg,73997-nogfqnhipn-pro-26.jpg,350 Neutral
440 Cool,102,105,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0440,81224-zijqkqkusz-440.jpg,25387-zijqkqkusz-pro-35.jpg,440 Cool
410 Cool,105,108,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0410,11360-wrcuxprurt-410.jpg,20900-wrcuxprurt-pro-32.jpg,410 Cool
400 Warm,108,111,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0400,761-erijywdrkh-400.jpg,86335-erijywdrkh-pro-31.jpg,400 Warm
200 Cool ,111,117,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0200,60847-ogpropbrrm-200.jpg,60330-ogpropbrrm-pro-11.jpg,200 Cool 
460 Cool,117,120,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0460,53283-twoqwbgrdd-460.jpg,57611-twoqwbgrdd-pro-37.jpg,460 Cool
240 Warm  ,120,123,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0240,20915-amjmlhpnwz-240.jpg,67945-amjmlhpnwz-pro-15.jpg,240 Warm  
280 Warm Peach ,123,126,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0280,46591-rjswicyczd-280.jpg,94373-rjswicyczd-pro-19.jpg,280 Warm Peach
180 Warm ,126,129,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0180,45521-prwdgjjbjw-180.jpg,54420-prwdgjjbjw-pro-9.jpg,180 Warm
370 Warm,129,132,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0370,96020-eqeuctufzi-370.jpg,43248-eqeuctufzi-pro-28.jpg,370 Warm
130 Warm ,132,135,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation ,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0130,19997-lbkuvvwdcz-130.jpg,24329-lbkuvvwdcz-pro-4.jpg,130 Warm 
