Foundation Name,Min Val,Max Val,Foundation Type,Foundation Url,Foundation Product,Foundation Image,Description
74 Deep Warm,99,115,KAT VON D     Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1501956,93811-lkcswubshx-956.jpg,6134-lkcswubshx-pro-27.jpg,74 Deep Warm
81 Deep Cool,115,118,KAT VON D    Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1817618,90511-nxmocokgnm-618.jpg,87118-nxmocokgnm-pro-30.jpg,81 Deep Cool
78 Deep Neutral,118,121,KAT VON D     Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1817600,38478-lrnnaapstv-600.jpg,100320-lrnnaapstv-pro-29.jpg,78 Deep Neutral
76 Deep Warm ,121,124,KAT VON D     Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1817592,55750-xcjtdbseti-592.jpg,102674-xcjtdbseti-pro-28.jpg,76 Deep Warm 
71 Deep Warm,124,127,KAT VON D     Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1501931,6613-iaxojgjlah-931.jpg,32929-iaxojgjlah-pro-26.jpg,71 Deep Warm
67 Deep Cool,127,130,KAT VON D    Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1817584,51332-irfqzuxjcy-584.jpg,22677-irfqzuxjcy-pro-25.jpg,67 Deep Cool
64 Medium Neutral,130,133,KAT VON D    Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1398825,22928-jsjwobsmkj-825.jpg,31976-jsjwobsmkj-pro-23.jpg,64 Medium Neutral
53 Medium ,133,136,KAT VON D     Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1501899,14354-wfeekhxqcb-899.jpg,55303-wfeekhxqcb-pro-14.jpg,53 Medium - Warm Undertone
65 Medium Warm,136,139,KAT VON D    Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1817576,33289-rjdhulzevw-576.jpg,5839-rjdhulzevw-pro-24.jpg,65 Medium Warm
58 Medium ,139,145,KAT VON D    Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1398866,56379-vlziyqjrcr-866.jpg,32118-vlziyqjrcr-pro-19.jpg,58 Medium - Neutral
62 Medium Warm,145,148,KAT VON D    Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1398783,50782-mbhvwrtnvm-783.jpg,95963-mbhvwrtnvm-pro-22.jpg,62 Medium Warm
48 Light ,148,157,KAT VON D       Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1398890,45692-tqdqddxctd-890.jpg,67418-tqdqddxctd-pro-9.jpg,48 Light - Neutral Undertone
49 Light ,157,163,KAT VON D       Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1501881,48241-kmhvbtbugx-881.jpg,101322-kmhvbtbugx-pro-10.jpg,49 Light - Neutral Undertone
46 Light ,163,166,KAT VON D       Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1398841,87491-xzduqsfmsh-841.jpg,568-xzduqsfmsh-pro-7.jpg,46 Light - Cool Undertone
54 Medium ,166,169,KAT VON D     Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1818467,62489-wbyypnjrpm-467.jpg,16274-wbyypnjrpm-pro-15.jpg,54 Medium - Cool Undertone
42 Light ,169,172,KAT VON D      Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1398817,14178-twkdzihtdu-817.jpg,47092-twkdzihtdu-pro-2.jpg,42 Light - Neutral Undertone
58 Medium ,172,175,KAT VON D    Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1818475,89572-atpobaskbw-475.jpg,31168-atpobaskbw-pro-20.jpg,58 Medium - Warm
44 Light ,175,178,KAT VON D       Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1398858,59646-aoucgcbusm-858.jpg,99767-aoucgcbusm-pro-4.jpg,44 Light - Cool Undertone
57 Medium ,178,181,KAT VON D    Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1501915,23687-yjhphffdzm-915.jpg,31006-yjhphffdzm-pro-18.jpg,57 Medium - Warm Undertone
54 Medium ,181,184,KAT VON D    Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1398882,42080-etoiswrbno-882.jpg,6845-etoiswrbno-pro-16.jpg,54 Medium - Neutral Undertone
56 Medium ,184,187,KAT VON D    Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1398833,80949-bbqlrqnvfu-833.jpg,3845-bbqlrqnvfu-pro-17.jpg,56 Medium - Neutral Undertone
52 Medium ,187,190,KAT VON D      Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1398874,68191-qysuztqnbj-874.jpg,46875-qysuztqnbj-pro-12.jpg,52 Medium - Warm Undertone
47 Light ,190,193,KAT VON D       Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1751247,96055-rsikdaztrw-247.jpg,55761-rsikdaztrw-pro-8.jpg,47 Light - Neutral Undertone
59 Medium ,193,196,KAT VON D    Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1817568,40291-nkylydtacg-568.jpg,92553-nkylydtacg-pro-21.jpg,59 Medium - Neutral
43 Light ,196,199,KAT VON D      Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1818426,81292-mpgvhnalai-426.jpg,33445-mpgvhnalai-pro-3.jpg,43 Light - Neutral Undertone
45 Light ,199,202,KAT VON D       Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1818434,75958-lvntsonkbl-434.jpg,20021-lvntsonkbl-pro-5.jpg,45 Light - Neutral Undertone
41 Light ,202,205,KAT VON D      Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1818418,75821-rxkchlshzl-418.jpg,30529-rxkchlshzl-pro-1.jpg,41 Light - Neutral Undertone
45 Light ,205,208,KAT VON D       Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1501873,78152-efjbpxtdwa-873.jpg,49687-efjbpxtdwa-pro-6.jpg,45 Light - Warm Undertone
53 Medium ,208,211,KAT VON D     Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1818459,62679-etvrjulozz-459.jpg,51151-etvrjulozz-pro-13.jpg,53 Medium - Neutral Undertone
52 Medium ,211,218,KAT VON D       Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1818442,73824-skkdbemtux-442.jpg,101781-skkdbemtux-pro-11.jpg,52 Medium - Neutral Undertone
