Foundation Name,Min Val,Max Val,Foundation Type,Foundation Url,Foundation Product,Foundation Image,Description
Y535 Chesternut,0,74,MAKE UP FOREVER Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106516,6477-ifdlbqpift-516.jpg,58469-ifdlbqpift-pro-Y535 Chesternut.jpg,Y535 Chesternut
Y455 Praline,74,78,MAKE UP FOREVER Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106474,15111-bkcbhgjnaj-474.jpg,4226-bkcbhgjnaj-pro-Y455 Praline.jpg,Y455 Praline
Y415 Almond,78,82,MAKE UP FOREVER Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106441,71708-pttuauqsbf-441.jpg,51777-pttuauqsbf-pro-Y415 Almond.jpg,Y415 Almond
R370 Medium Beige,82,86,MAKE UP FOREVER Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106409,60591-gbnhltzlxa-409.jpg,20361-gbnhltzlxa-pro-R370 Medium Beige.jpg,R370 Medium Beige
Y425 Honey,86,90,MAKE UP FOREVER Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106458,21007-riopfhkgfv-458.jpg,14910-riopfhkgfv-pro-Y425 Honey.jpg,Y425 Honey
R530 Brown,90,94,MAKE UP FOREVER Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106508,97665-pqvhumalah-508.jpg,29659-pqvhumalah-pro-R530 Brown.jpg,R530 Brown
R410 Golden Beige,94,98,MAKE UP FOREVER Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106433,87437-eomhdsempx-433.jpg,82878-eomhdsempx-pro-R410 Golden Beige.jpg,R410 Golden Beige
Y355 Natural Beige,98,102,MAKE UP FOREVER Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106383,82618-vyxvxdfapi-383.jpg,7877-vyxvxdfapi-pro-Y355 Natural Beige.jpg,Y355 Natural Beige
Y345 Natural Beige,102,106,MAKE UP FOREVER Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106375,60959-wuwxaakkqa-375.jpg,102475-wuwxaakkqa-pro-Y345 Natural Beige.jpg,Y345 Natural Beige
Y505 Cognac,106,110,MAKE UP FOREVER Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106482,20578-bbgjlplbmg-482.jpg,23888-bbgjlplbmg-pro-Y505 Cognac.jpg,Y505 Cognac
Y325 Flesh,110,114,MAKE UP FOREVER                Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106342,43381-yzluzzebwg-342.jpg,1605-yzluzzebwg-pro-Y325 Flesh.jpg,Y325 Flesh
R510 Coffee,114,118,MAKE UP FOREVER Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106490,80232-qxyhzsqcty-490.jpg,95466-qxyhzsqcty-pro-R510 Coffee.jpg,R510 Coffee
Y335 Dark Sand,118,122,MAKE UP FOREVER Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106367,101303-hhfunwiqlb-367.jpg,59087-hhfunwiqlb-pro-Y335 Dark Sand.jpg,Y335 Dark Sand
Y365 Desert,122,126,MAKE UP FOREVER Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106391,61783-qgmdolntqy-391.jpg,22980-qgmdolntqy-pro-Y365 Desert.jpg,Y365 Desert
Y375 Golden Sand,126,130,MAKE UP FOREVER Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106417,100881-nizczmgezh-417.jpg,32761-nizczmgezh-pro-Y375 Golden Sand.jpg,Y375 Golden Sand
Y445 Amber,130,134,MAKE UP FOREVER Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106466,8844-tkqdeaipdv-466.jpg,56906-tkqdeaipdv-pro-Y445 Amber.jpg,Y445 Amber
