Foundation Name,Min Val,Max Val,Foundation Type,Foundation Url,Foundation Product,Foundation Image,Description
Y535 Chesternut,0,72,MAKE UP FOREVER     ULTRA HD FOUNDATION  INVISIBLE COVER FOUNDATION,https://www.sephora.com/product/ultra-hd-invisible-cover-foundation-P398321?icid2=products%20grid:p398321:product&skuId=1709179,79769-xohuftcmic-179.jpg,43392-xohuftcmic-pro-Y535 Chesternut.jpg,Y535 Chesternut
Y435 Caramel,72,74,MAKE UP FOREVER     ULTRA HD FOUNDATION  INVISIBLE COVER FOUNDATION,https://www.sephora.com/product/ultra-hd-invisible-cover-foundation-P398321?icid2=products%20grid:p398321:product&skuId=1709146,61783-yqvouayylh-146.jpg,40875-yqvouayylh-pro-Y435 Caramel.jpg,Y435 Caramel
Y455 Praline,74,76,MAKE UP FOREVER     ULTRA HD FOUNDATION  INVISIBLE COVER FOUNDATION,https://www.sephora.com/product/ultra-hd-invisible-cover-foundation-P398321?icid2=products%20grid:p398321:product&skuId=1709070,57272-kpfbbbpdva-070.jpg,3826-kpfbbbpdva-pro-Y455 Praline.jpg,Y455 Praline
Y415 Almond,76,78,MAKE UP FOREVER     ULTRA HD FOUNDATION  INVISIBLE COVER FOUNDATION,https://www.sephora.com/product/ultra-hd-invisible-cover-foundation-P398321?icid2=products%20grid:p398321:product&skuId=1708908,52976-rubbkoegtp-908.jpg,78333-rubbkoegtp-pro-Y415 Almond.jpg,Y415 Almond
R420 Honey Beige,78,80,MAKE UP FOREVER     ULTRA HD FOUNDATION  INVISIBLE COVER FOUNDATION,https://www.sephora.com/product/ultra-hd-invisible-cover-foundation-P398321?icid2=products%20grid:p398321:product&skuId=1709229,7969-ggqyhecfdy-229.jpg,95808-ggqyhecfdy-pro-R420 Honey Beige.jpg,R420 Honey Beige
R370 Medium Beige,80,84,MAKE UP FOREVER     ULTRA HD FOUNDATION  INVISIBLE COVER FOUNDATION,https://www.sephora.com/product/ultra-hd-invisible-cover-foundation-P398321?icid2=products%20grid:p398321:product&skuId=1708981,31038-vwdaqmwcsz-981.jpg,82171-vwdaqmwcsz-pro-R370 Medium Beige.jpg,R370 Medium Beige
Y425 Honey,84,86,MAKE UP FOREVER     ULTRA HD FOUNDATION  INVISIBLE COVER FOUNDATION,https://www.sephora.com/product/ultra-hd-invisible-cover-foundation-P398321?icid2=products%20grid:p398321:product&skuId=1709062,3593-twahztvwbu-062.jpg,66643-twahztvwbu-pro-Y425 Honey.jpg,Y425 Honey
R530 Brown,86,88,MAKE UP FOREVER     ULTRA HD FOUNDATION  INVISIBLE COVER FOUNDATION,https://www.sephora.com/product/ultra-hd-invisible-cover-foundation-P398321?icid2=products%20grid:p398321:product&skuId=1709211,25170-agmjpzjyug-211.jpg,85702-agmjpzjyug-pro-R530 Brown.jpg,R530 Brown
R410 Golden Beige,88,90,MAKE UP FOREVER     ULTRA HD FOUNDATION  INVISIBLE COVER FOUNDATION,https://www.sephora.com/product/ultra-hd-invisible-cover-foundation-P398321?icid2=products%20grid:p398321:product&skuId=1709203,46702-tgkhwtbzod-203.jpg,51275-tgkhwtbzod-pro-R410 Golden Beige.jpg,R410 Golden Beige
Y355 Natural Beige,90,92,MAKE UP FOREVER     ULTRA HD FOUNDATION  INVISIBLE COVER FOUNDATION,https://www.sephora.com/product/ultra-hd-invisible-cover-foundation-P398321?icid2=products%20grid:p398321:product&skuId=1708866,100591-fyhjcpnlya-866.jpg,42163-fyhjcpnlya-pro-Y355 Natural Beige.jpg,Y355 Natural Beige
