Foundation Name,Min Val,Max Val,Foundation Type,Foundation Url,Foundation Product,Foundation Image,Description
Y455 Praline,78,92,MAKE UP FOREVER            Water Blend Face & Body Foundation,https://www.sephora.com/product/water-blend-face-body-foundation-P410512?skuId=1856442,53810-vqkcktvsgz-442.jpg,87303-vqkcktvsgz-pro-Y455 Praline.jpg,Y455 Praline
Y415 Almond,92,96,MAKE UP FOREVER                          Water Blend Face & Body Foundation,https://www.sephora.com/product/water-blend-face-body-foundation-P410512?skuId=1856418,102287-sckibwvoze-418.jpg,1812-sckibwvoze-pro-Y415 Almond.jpg,Y415 Almond
R370 Medium Beige,96,100,MAKE UP FOREVER               Water Blend Face & Body Foundation,https://www.sephora.com/product/water-blend-face-body-foundation-P410512?icid2=products%20grid:p410512:product&skuId=1856392,2076-hfzfrysyps-392.jpg,41105-hfzfrysyps-pro-R370 Medium Beige.jpg,R370 Medium Beige
R540 Dark,100,104,MAKE UP FOREVER                   Water Blend Face & Body Foundation,https://www.sephora.com/product/water-blend-face-body-foundation-P410512?skuId=1856475,20649-nxtvthwhiq-475.jpg,23012-nxtvthwhiq-pro-R540 Dark.jpg,R540 Dark
R410 Golden Beige,104,108,MAKE UP FOREVER                     Water Blend Face & Body Foundation,https://www.sephora.com/product/water-blend-face-body-foundation-P410512?icid2=products%20grid:p410512:product&skuId=1856400,82981-eqjdiukljt-400.jpg,7580-eqjdiukljt-pro-R410 Golden Beige.jpg,R410 Golden Beige
Y505 Cognac,108,112,MAKE UP FOREVER                  Water Blend Face & Body Foundation,https://www.sephora.com/product/water-blend-face-body-foundation-P410512?skuId=1856459,3882-fkexxqundr-459.jpg,59870-fkexxqundr-pro-Y505 Cognac.jpg,Y505 Cognac
R510 Coffee,112,120,MAKE UP FOREVER                Water Blend Face & Body Foundation,https://www.sephora.com/product/water-blend-face-body-foundation-P410512?skuId=1856467,61594-mdirubylpm-467.jpg,29527-mdirubylpm-pro-R510 Coffee.jpg,R510 Coffee
R240 Pink,120,124,MAKE UP FOREVER                    Water Blend Face & Body Foundation,https://www.sephora.com/product/water-blend-face-body-foundation-P410512?icid2=products%20grid:p410512:product&skuId=1856319,46684-qyawusfkda-319.jpg,54708-qyawusfkda-pro-R240 Pink.jpg,R240 Pink
R430 Hazelnut,124,128,MAKE UP FOREVER                     Water Blend Face & Body Foundation,https://www.sephora.com/product/water-blend-face-body-foundation-P410512?skuId=1856426,12618-wzcomonkhv-426.jpg,94657-wzcomonkhv-pro-R430 Hazelnut.jpg,R430 Hazelnut
Y445 Amber,128,132,MAKE UP FOREVER               Water Blend Face & Body Foundation,https://www.sephora.com/product/water-blend-face-body-foundation-P410512?skuId=1856434,78116-rbrivpfexy-434.jpg,63365-rbrivpfexy-pro-Y445 Amber.jpg,Y445 Amber
