Foundation Name,Min Val,Max Val,Foundation Type,Foundation Url,Foundation Product,Foundation Image,Description
84 Cocoa Light,0,74,MARC JACOBS      Re(marc)able Full Cover Foundation,https://www.sephora.com/product/re-marc-able-full-coverage-foundation-concentrate-P398803?icid2=products%20grid:p398803:product&skuId=1711209,46339-qibzbdnzwd-209.jpg,65287-qibzbdnzwd-pro-84 Cocoa Light.jpg,84 Cocoa Light
52 Honey Light,74,78,MARC JACOBS      Re(marc)able Full Cover Foundation,https://www.sephora.com/product/re-marc-able-full-coverage-foundation-concentrate-P398803?icid2=products%20grid:p398803:product&skuId=1711241,47751-ikszumsnok-241.jpg,88873-ikszumsnok-pro-52 Honey Light.jpg,52 Honey Light
36 Beige Golden,78,82,MARC JACOBS      Re(marc)able Full Cover Foundation,https://www.sephora.com/product/re-marc-able-full-coverage-foundation-concentrate-P398803?icid2=products%20grid:p398803:product&skuId=1711126,64301-huleqbzbew-126.jpg,12500-huleqbzbew-pro-36 Beige Golden.jpg,36 Beige Golden
35 Beige Taupe,82,86,MARC JACOBS      Re(marc)able Full Cover Foundation,https://www.sephora.com/product/re-marc-able-full-coverage-foundation-concentrate-P398803?icid2=products%20grid:p398803:product&skuId=1711118,34894-lfujfkenip-118.jpg,28153-lfujfkenip-pro-35 Beige Taupe.jpg,35 Beige Taupe
82 Cocoa Light,86,90,MARC JACOBS      Re(marc)able Full Cover Foundation,https://www.sephora.com/product/re-marc-able-full-coverage-foundation-concentrate-P398803?icid2=products%20grid:p398803:product&skuId=1711191,65043-jyiopupezx-191.jpg,88981-jyiopupezx-pro-82 Cocoa Light.jpg,82 Cocoa Light
27 Bisque Neutral,90,94,MARC JACOBS      Re(marc)able Full Cover Foundation,https://www.sephora.com/product/re-marc-able-full-coverage-foundation-concentrate-P398803?icid2=products%20grid:p398803:product&skuId=1711167,62179-miucbrbwwl-167.jpg,25168-miucbrbwwl-pro-27 Bisque Neutral.jpg,27 Bisque Neutral
33 Beige,94,98,MARC JACOBS      Re(marc)able Full Cover Foundation,https://www.sephora.com/product/re-marc-able-full-coverage-foundation-concentrate-P398803?icid2=products%20grid:p398803:product&skuId=1711092,65783-agkdwazlbh-092.jpg,19785-agkdwazlbh-pro-33 Beige.jpg,33 Beige
34 Beige Medium,98,102,MARC JACOBS      Re(marc)able Full Cover Foundation,https://www.sephora.com/product/re-marc-able-full-coverage-foundation-concentrate-P398803?icid2=products%20grid:p398803:product&skuId=1711100,9867-siiplbjvfh-100.jpg,25618-siiplbjvfh-pro-34 Beige Medium.jpg,34 Beige Medium
14 Medium Ivory,102,106,"
MARC JACOBS      Re(marc)able Full Cover Foundation
",https://www.sephora.com/product/re-marc-able-full-coverage-foundation-concentrate-P398803?icid2=products%20grid:p398803:product&skuId=1711290,17556-cpisloosmm-290.jpg,9301-cpisloosmm-pro-14 Medium Ivory.jpg,14 Medium Ivory
46 Golden Deep,106,110,MARC JACOBS      Re(marc)able Full Cover Foundation,https://www.sephora.com/product/re-marc-able-full-coverage-foundation-concentrate-P398803?icid2=products%20grid:p398803:product&skuId=1711233,16237-ehfpbizbxz-233.jpg,39994-ehfpbizbxz-pro-46 Golden Deep.jpg,46 Golden Deep
54 Medium Deep,110,114,MARC JACOBS      Re(marc)able Full Cover Foundation,https://www.sephora.com/product/re-marc-able-full-coverage-foundation-concentrate-P398803?icid2=products%20grid:p398803:product&skuId=1711258,41159-whupokbyrq-258.jpg,95669-whupokbyrq-pro-54 Medium Deep.jpg,54 Medium Deep
44 Golden Medium,114,118,MARC JACOBS      Re(marc)able Full Cover Foundation,https://www.sephora.com/product/re-marc-able-full-coverage-foundation-concentrate-P398803?icid2=products%20grid:p398803:product&skuId=1711225,21501-aezcpffvlj-225.jpg,32432-aezcpffvlj-pro-44 Golden Medium.jpg,44 Golden Medium
Ivory Light 12,118,122,MARC JACOBS      Re(marc)able Full Cover Foundation,https://www.sephora.com/product/re-marc-able-full-coverage-foundation-concentrate-P398803?icid2=products%20grid:p398803:product&skuId=1711282,85906-fzcypttiox-282.jpg,42278-fzcypttiox-pro-Ivory Light 12.jpg,Ivory Light 12
29 Bisque Golden,122,126,MARC JACOBS      Re(marc)able Full Cover Foundation,https://www.sephora.com/product/re-marc-able-full-coverage-foundation-concentrate-P398803?icid2=products%20grid:p398803:product&skuId=1711183,62229-kbrwwsenbd-183.jpg,101760-kbrwwsenbd-pro-29 Bisque Golden.jpg,29 Bisque Golden
86 Cocoa Deep,126,130,MARC JACOBS Re(marc)able Full Cover Foundation,https://www.sephora.com/product/re-marc-able-full-coverage-foundation-concentrate-P398803?icid2=products%20grid:p398803:product&skuId=1711217,67521-meucpthdcm-217.jpg,37944-meucpthdcm-pro-86 Cocoa Deep.jpg,86 Cocoa Deep
58 Honey Deep,130,134,MARC JACOBS      Re(marc)able Full Cover Foundation,https://www.sephora.com/product/re-marc-able-full-coverage-foundation-concentrate-P398803?icid2=products%20grid:p398803:product&skuId=1711266,101427-zuprlvqnni-266.jpg,85683-zuprlvqnni-pro-58 Honey Deep.jpg,58 Honey Deep
28 Bisque Taupe,134,138,MARC JACOBS      Re(marc)able Full Cover Foundation,https://www.sephora.com/product/re-marc-able-full-coverage-foundation-concentrate-P398803?icid2=products%20grid:p398803:product&skuId=1711175,103338-bzfbeigpzv-175.jpg,96569-bzfbeigpzv-pro-28 Bisque Taupe.jpg,28 Bisque Taupe
26 Bisque Medium,138,142,MARC JACOBS      Re(marc)able Full Cover Foundation,https://www.sephora.com/product/re-marc-able-full-coverage-foundation-concentrate-P398803?icid2=products%20grid:p398803:product&skuId=1711159,3002-wnlrngaqoj-159.jpg,7854-wnlrngaqoj-pro-26 Bisque Medium.jpg,26 Bisque Medium
Ivory Light 10,142,146,MARC JACOBS      Re(marc)able Full Cover Foundation,https://www.sephora.com/product/re-marc-able-full-coverage-foundation-concentrate-P398803?icid2=products%20grid:p398803:product&skuId=1711274,89046-jrcuurrgrp-274.jpg,85450-jrcuurrgrp-pro-Ivory Light 10.jpg,Ivory Light 10
