Foundation Name,Min Val,Max Val,Foundation Type,Foundation Url,Foundation Product,Foundation Image,Description
Deep R530,0,73,MARC JACOBS      Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035947,80557-rkdkethpzw-947.jpg,74497-rkdkethpzw-pro-Deep R530.jpg,Deep R530
Medium Y440,73,76,MARC JACOBS      Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035889,61172-utnmnhmevy-889.jpg,38175-utnmnhmevy-pro-Medium Y440.jpg,Medium Y440
Medium R380,76,79,MARC JACOBS      Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035848,36313-dtzqqcpqac-848.jpg,763-dtzqqcpqac-pro-Medium R380.jpg,Medium R380
Tan R490,79,82,MARC JACOBS      Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035921,15122-rmxeevlrqb-921.jpg,68277-rmxeevlrqb-pro-Tan R490.jpg,Tan R490
Medium Y340,82,85,MARC JACOBS      Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035806,69566-fxxsbtrecf-806.jpg,91136-fxxsbtrecf-pro-Medium Y340.jpg,Medium Y340
Very Deep Y570,85,88,MARC JACOBS      Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035962,87430-deebzpvekl-962.jpg,52184-deebzpvekl-pro-Very Deep Y570.jpg,Very Deep Y570
Medium Y370,88,94,MARC JACOBS      Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035830,21588-dogphwszkh-830.jpg,75268-dogphwszkh-pro-Medium Y370.jpg,Medium Y370
Medium Y360,94,97,MARC JACOBS      Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035822,81298-wmeaqthyrb-822.jpg,58685-wmeaqthyrb-pro-Medium Y360.jpg,Medium Y360
Tan Y480,97,100,MARC JACOBS      Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035913,15907-luwukbkzbf-913.jpg,12808-luwukbkzbf-pro-Tan Y480.jpg,Tan Y480
Light R250,100,106,MARC JACOBS  Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035749,88700-dpluhgadog-749.jpg,1449-dpluhgadog-pro-Light R250.jpg,Light R250
Medium R330,106,109,MARC JACOBS      Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035798,16044-bghkrvoovg-798.jpg,58863-bghkrvoovg-pro-Medium R330.jpg,Medium R330
Deep R590,109,112,MARC JACOBS      Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035970,557-ieqtiqmtsf-970.jpg,46505-ieqtiqmtsf-pro-Deep R590.jpg,Deep R590
Medium R350,112,115,MARC JACOBS      Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035814,100842-nlufrmbdcn-814.jpg,83667-nlufrmbdcn-pro-Medium R350.jpg,Medium R350
Fair R150,115,118,MARC JACOBS     Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035715,13484-oachshmxby-715.jpg,78012-oachshmxby-pro-Fair R150.jpg,Fair R150
Medium Y420,118,121,MARC JACOBS      Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035871,37411-ecsqczzjhb-871.jpg,28804-ecsqczzjhb-pro-Medium Y420.jpg,Medium Y420
Medium R460,121,124,MARC JACOBS      Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035897,39878-rbisyuzakn-897.jpg,18443-rbisyuzakn-pro-Medium R460.jpg,Medium R460
Medium Y400,124,127,MARC JACOBS      Shameless Youthful Look Foundation,https://www.marcjacobsbeauty.com/shameless/youthful-look-24-hour-foundation-spf-25/MJ30017.html?dwvar_MJ30017_color=MJ3098,22532-klfijxczum-098.jpg,8306-klfijxczum-pro-Medium Y400.jpg,Medium Y400
