Foundation Name,Min Val,Max Val,Foundation Type,Foundation Url,Foundation Product,Foundation Image,Description
74 Deep Warm,105,118,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2144145,66469-xoqhkigguu-145.jpg,94159-xoqhkigguu-pro-27.jpg,74 Deep Warm
81 Deep Cool,118,121,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2144160,5308-dypmvlyhdm-160.jpg,35540-dypmvlyhdm-pro-30.jpg,81 Deep Cool
78 Deep Neutral,121,127,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2143915,1852-ocqamfoyui-915.jpg,2735-ocqamfoyui-pro-29.jpg,78 Deep Neutral
76 Deep Warm ,127,130,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2144152,4767-tpfnblayin-152.jpg,24230-tpfnblayin-pro-28.jpg,76 Deep Warm 
71 Deep Warm,130,133,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2144137,22905-ycsxhjtvgr-137.jpg,74924-ycsxhjtvgr-pro-26.jpg,71 Deep Warm
67 Deep Cool,133,136,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2144129,101015-tkaxncyxok-129.jpg,31105-tkaxncyxok-pro-25.jpg,67 Deep Cool
64 Medium Neutral,136,139,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2144103,25882-xeonkupjyv-103.jpg,99606-xeonkupjyv-pro-23.jpg,64 Medium Neutral
53 Medium ,139,142,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2144038,65191-euswzvgqxx-038.jpg,53263-euswzvgqxx-pro-14.jpg,53 Medium - Warm Undertone
65 Medium Warm,142,145,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2144111,94704-yzeeptmpsz-111.jpg,21381-yzeeptmpsz-pro-24.jpg,65 Medium Warm
58 Medium ,145,148,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2144061,103460-faeixfkkpv-061.jpg,83033-faeixfkkpv-pro-19.jpg,58 Medium - Neutral
62 Medium Warm,148,151,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2144095,49683-slljuqxnwe-095.jpg,3870-slljuqxnwe-pro-22.jpg,62 Medium Warm
48 Light ,151,154,,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2143899,51815-sbyeowpzpt-899.jpg,62629-sbyeowpzpt-pro-9.jpg,48 Light - Neutral Undertone
49 Light ,154,157,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2143998,43236-ybxacokpnz-998.jpg,32901-ybxacokpnz-pro-10.jpg,49 Light - Neutral Undertone
46 Light ,157,160,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2143972,16207-aplkxbdwvw-972.jpg,17951-aplkxbdwvw-pro-7.jpg,46 Light - Cool Undertone
54 Medium ,160,163,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2143907,11834-netetkuxga-907.jpg,20556-netetkuxga-pro-15.jpg,54 Medium - Cool Undertone
